Date : 2025-03-22 14:56:12
Directory : d:\Users\normalpcer\Documents\sync_code
Total : 683 files,  80556 codes, 7696 comments, 9669 blanks, all 97921 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| dist (Files)                                                                                                                                   |         10 |      1,178 |        228 |         10 |      1,416 |
| dist\luogu-alias-tag                                                                                                                           |          1 |        556 |        106 |          1 |        663 |
| libs                                                                                                                                           |         22 |      1,589 |         30 |        104 |      1,723 |
| test_rust                                                                                                                                      |         23 |         46 |          0 |          6 |         52 |
| test_rust\src                                                                                                                                  |          1 |         24 |          0 |          6 |         30 |
| test_rust\target                                                                                                                               |         22 |         22 |          0 |          0 |         22 |
| test_rust\target (Files)                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug                                                                                                                         |         21 |         21 |          0 |          0 |         21 |
| test_rust\target\debug\.fingerprint                                                                                                            |         21 |         21 |          0 |          0 |         21 |
| test_rust\target\debug\.fingerprint\cfg-if-cf6a53d7866f9279                                                                                    |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\cfg-if-fb006ed226228755                                                                                    |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\getrandom-cbc680de5e5b4811                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\getrandom-dbcd401787edfeb9                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\ppv-lite86-d8edefb93ba7fd52                                                                                |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\ppv-lite86-f557d697701bca55                                                                                |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\rand-16e777f8cae8a50f                                                                                      |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\rand-270928a9e85e96bd                                                                                      |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\rand_chacha-9ba6c5d66e913007                                                                               |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\rand_chacha-cd905de44a4463eb                                                                               |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\rand_core-0e7e9221ccc178c0                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\rand_core-8f209293550f512c                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\test_rust-003e86b7c2edb77e                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\test_rust-2732d4ad1b05810f                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\test_rust-8272741859d520a8                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\test_rust-865d2aeef96097dc                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\test_rust-94b626b223143549                                                                                 |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\zerocopy-0c6013cc10a8fcbc                                                                                  |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\zerocopy-5a545a4bdddc2848                                                                                  |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\zerocopy-5ac92900e3c6573d                                                                                  |          1 |          1 |          0 |          0 |          1 |
| test_rust\target\debug\.fingerprint\zerocopy-a7aa877ddfc6aaf2                                                                                  |          1 |          1 |          0 |          0 |          1 |
| unstd-cpp                                                                                                                                      |          6 |        429 |          4 |         58 |        491 |
| 让 AI 识别 AI 和人类的代码                                                                                                                              |          4 |        233 |          6 |         10 |        249 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Users\normalpcer\Documents\sync_code\(Jiandan)_Mua_(I)___Lexical_Analyzer.cpp                                                               | C++                |        869 |         50 |         30 |        949 |
| d:\Users\normalpcer\Documents\sync_code\._P2897_[USACO08JAN]_Artificial_Lake_G.cpp                                                             | C++                |         14 |          3 |          8 |         25 |
| d:\Users\normalpcer\Documents\sync_code\.github\workflows\md2zhihu.yml                                                                         | YAML               |         16 |          0 |          1 |         17 |
| d:\Users\normalpcer\Documents\sync_code\.vs\ProjectSettings.json                                                                               | JSON               |          3 |          0 |          0 |          3 |
| d:\Users\normalpcer\Documents\sync_code\.vs\VSWorkspaceState.json                                                                              | JSON               |          7 |          0 |          0 |          7 |
| d:\Users\normalpcer\Documents\sync_code\.vs\sync_code\v17\DocumentLayout.json                                                                  | JSON               |         41 |          0 |          0 |         41 |
| d:\Users\normalpcer\Documents\sync_code\1.json                                                                                                 | JSON               |      2,812 |          0 |          1 |      2,813 |
| d:\Users\normalpcer\Documents\sync_code\1.md                                                                                                   | Markdown           |         59 |          0 |          5 |         64 |
| d:\Users\normalpcer\Documents\sync_code\1.styl                                                                                                 | Stylus             |         54 |         27 |         11 |         92 |
| d:\Users\normalpcer\Documents\sync_code\1.ts                                                                                                   | TypeScript         |        141 |         14 |         18 |        173 |
| d:\Users\normalpcer\Documents\sync_code\10.md                                                                                                  | Markdown           |         79 |          0 |         41 |        120 |
| d:\Users\normalpcer\Documents\sync_code\2.5.ts                                                                                                 | TypeScript         |         15 |         12 |          3 |         30 |
| d:\Users\normalpcer\Documents\sync_code\2.md                                                                                                   | Markdown           |         80 |          0 |         17 |         97 |
| d:\Users\normalpcer\Documents\sync_code\2.ts                                                                                                   | TypeScript         |         42 |         12 |          5 |         59 |
| d:\Users\normalpcer\Documents\sync_code\20241112\fight\fight.cpp                                                                               | C++                |         47 |          2 |          7 |         56 |
| d:\Users\normalpcer\Documents\sync_code\20241112\fight\fight2.cpp                                                                              | C++                |         54 |          0 |          7 |         61 |
| d:\Users\normalpcer\Documents\sync_code\20241112\fight\template.cpp                                                                            | C++                |         35 |          0 |          7 |         42 |
| d:\Users\normalpcer\Documents\sync_code\20241112\game\game.cpp                                                                                 | C++                |         42 |          0 |          6 |         48 |
| d:\Users\normalpcer\Documents\sync_code\20241112\game\template.cpp                                                                             | C++                |         35 |          0 |          7 |         42 |
| d:\Users\normalpcer\Documents\sync_code\20241112\internet\internet.cpp                                                                         | C++                |         94 |          2 |          8 |        104 |
| d:\Users\normalpcer\Documents\sync_code\20241112\internet\template.cpp                                                                         | C++                |         35 |          0 |          7 |         42 |
| d:\Users\normalpcer\Documents\sync_code\20241112\template.cpp                                                                                  | C++                |         35 |          0 |          7 |         42 |
| d:\Users\normalpcer\Documents\sync_code\20241112\trans\template.cpp                                                                            | C++                |         35 |          0 |          7 |         42 |
| d:\Users\normalpcer\Documents\sync_code\20241112\trans\trans.cpp                                                                               | C++                |         80 |         28 |         11 |        119 |
| d:\Users\normalpcer\Documents\sync_code\20241112\trans\trans_copy.cpp                                                                          | C++                |         75 |          1 |         10 |         86 |
| d:\Users\normalpcer\Documents\sync_code\20241119\T1\T1 copy.cpp                                                                                | C++                |         62 |          0 |          9 |         71 |
| d:\Users\normalpcer\Documents\sync_code\20241119\T1\T1.cpp                                                                                     | C++                |         61 |          7 |         14 |         82 |
| d:\Users\normalpcer\Documents\sync_code\20241119\T1\template.cpp                                                                               | C++                |          9 |          0 |          3 |         12 |
| d:\Users\normalpcer\Documents\sync_code\20241119\T2\T2.cpp                                                                                     | C++                |         47 |          2 |          9 |         58 |
| d:\Users\normalpcer\Documents\sync_code\20241119\T2\template.cpp                                                                               | C++                |         11 |          0 |          3 |         14 |
| d:\Users\normalpcer\Documents\sync_code\20241119\T3\T3.cpp                                                                                     | C++                |         57 |          3 |         11 |         71 |
| d:\Users\normalpcer\Documents\sync_code\20241119\T3\template.cpp                                                                               | C++                |         11 |          0 |          3 |         14 |
| d:\Users\normalpcer\Documents\sync_code\20241119\template.cpp                                                                                  | C++                |         11 |          0 |          3 |         14 |
| d:\Users\normalpcer\Documents\sync_code\20241121\subseq3\subseq3.cpp                                                                           | C++                |         85 |          4 |         16 |        105 |
| d:\Users\normalpcer\Documents\sync_code\20241121\subseq3\template.cpp                                                                          | C++                |         19 |          0 |          3 |         22 |
| d:\Users\normalpcer\Documents\sync_code\20241121\subseq\subseq.cpp                                                                             | C++                |         57 |          3 |          9 |         69 |
| d:\Users\normalpcer\Documents\sync_code\20241121\subseq\template.cpp                                                                           | C++                |         19 |          0 |          4 |         23 |
| d:\Users\normalpcer\Documents\sync_code\20241121\template.cpp                                                                                  | C++                |         19 |          0 |          4 |         23 |
| d:\Users\normalpcer\Documents\sync_code\20241121\tree\template.cpp                                                                             | C++                |         19 |          0 |          4 |         23 |
| d:\Users\normalpcer\Documents\sync_code\20241121\tree\tree.cpp                                                                                 | C++                |         66 |          5 |         16 |         87 |
| d:\Users\normalpcer\Documents\sync_code\20241121\triring\triring.cpp                                                                           | C++                |         20 |          0 |          3 |         23 |
| d:\Users\normalpcer\Documents\sync_code\20241127\A\A.cpp                                                                                       | C++                |         81 |          0 |         19 |        100 |
| d:\Users\normalpcer\Documents\sync_code\20241127\A\template.cpp                                                                                | C++                |         23 |          0 |          6 |         29 |
| d:\Users\normalpcer\Documents\sync_code\20241127\B\B.cpp                                                                                       | C++                |        159 |          6 |         31 |        196 |
| d:\Users\normalpcer\Documents\sync_code\20241127\B\template.cpp                                                                                | C++                |         23 |          0 |          6 |         29 |
| d:\Users\normalpcer\Documents\sync_code\20241127\C\C.cpp                                                                                       | C++                |        101 |          3 |         18 |        122 |
| d:\Users\normalpcer\Documents\sync_code\20241127\C\template.cpp                                                                                | C++                |         23 |          0 |          6 |         29 |
| d:\Users\normalpcer\Documents\sync_code\20241127\template.cpp                                                                                  | C++                |         23 |          0 |          6 |         29 |
| d:\Users\normalpcer\Documents\sync_code\20241128\control\control.cpp                                                                           | C++                |        115 |         11 |         26 |        152 |
| d:\Users\normalpcer\Documents\sync_code\20241128\control\template.cpp                                                                          | C++                |         29 |          0 |         10 |         39 |
| d:\Users\normalpcer\Documents\sync_code\20241128\lcm\lcm.cpp                                                                                   | C++                |         63 |          2 |         17 |         82 |
| d:\Users\normalpcer\Documents\sync_code\20241128\lcm\template.cpp                                                                              | C++                |         29 |          0 |         10 |         39 |
| d:\Users\normalpcer\Documents\sync_code\20241128\plan\plan.cpp                                                                                 | C++                |         79 |          1 |         19 |         99 |
| d:\Users\normalpcer\Documents\sync_code\20241128\plan\rand.py                                                                                  | Python             |          6 |          0 |          2 |          8 |
| d:\Users\normalpcer\Documents\sync_code\20241128\plan\template.cpp                                                                             | C++                |         29 |          0 |         10 |         39 |
| d:\Users\normalpcer\Documents\sync_code\20241128\template.cpp                                                                                  | C++                |         29 |          0 |         10 |         39 |
| d:\Users\normalpcer\Documents\sync_code\20250222\edit\edit.cpp                                                                                 | C++                |         56 |         14 |         11 |         81 |
| d:\Users\normalpcer\Documents\sync_code\20250222\edit\template.cpp                                                                             | C++                |         17 |          0 |          4 |         21 |
| d:\Users\normalpcer\Documents\sync_code\20250222\gcd\gcd.cpp                                                                                   | C++                |         87 |         15 |         13 |        115 |
| d:\Users\normalpcer\Documents\sync_code\20250222\gcd\gcd.py                                                                                    | Python             |         67 |          9 |          7 |         83 |
| d:\Users\normalpcer\Documents\sync_code\20250222\gcd\gcd_80pts.cpp                                                                             | C++                |         86 |         12 |         13 |        111 |
| d:\Users\normalpcer\Documents\sync_code\20250222\gcd\gen.py                                                                                    | Python             |         16 |          0 |          5 |         21 |
| d:\Users\normalpcer\Documents\sync_code\20250222\gcd\template.cpp                                                                              | C++                |         17 |          0 |          4 |         21 |
| d:\Users\normalpcer\Documents\sync_code\20250222\split\split.cpp                                                                               | C++                |         31 |          4 |          5 |         40 |
| d:\Users\normalpcer\Documents\sync_code\20250222\split\template.cpp                                                                            | C++                |         16 |          0 |          3 |         19 |
| d:\Users\normalpcer\Documents\sync_code\20250222\template.cpp                                                                                  | C++                |         17 |          0 |          4 |         21 |
| d:\Users\normalpcer\Documents\sync_code\20250222\xorsum\check_arena0.cpp                                                                       | C++                |         17 |          0 |          4 |         21 |
| d:\Users\normalpcer\Documents\sync_code\20250222\xorsum\template.cpp                                                                           | C++                |         17 |          0 |          4 |         21 |
| d:\Users\normalpcer\Documents\sync_code\20250222\xorsum\xorsum.cpp                                                                             | C++                |         56 |         14 |         11 |         81 |
| d:\Users\normalpcer\Documents\sync_code\20250314\T1\T1.cpp                                                                                     | C++                |         73 |         23 |          9 |        105 |
| d:\Users\normalpcer\Documents\sync_code\20250314\T2\T2.cpp                                                                                     | C++                |         87 |          8 |         12 |        107 |
| d:\Users\normalpcer\Documents\sync_code\20250314\T3\T3.cpp                                                                                     | C++                |         67 |         31 |          8 |        106 |
| d:\Users\normalpcer\Documents\sync_code\20250314\T4\T4.cpp                                                                                     | C++                |         50 |          6 |          8 |         64 |
| d:\Users\normalpcer\Documents\sync_code\20250322\T1\T1.cpp                                                                                     | C++                |         30 |         11 |          9 |         50 |
| d:\Users\normalpcer\Documents\sync_code\20250322\T2\T2.cpp                                                                                     | C++                |         79 |         24 |         16 |        119 |
| d:\Users\normalpcer\Documents\sync_code\20250322\T3\T3.cpp                                                                                     | C++                |         58 |          2 |         10 |         70 |
| d:\Users\normalpcer\Documents\sync_code\20250322\T4\T4.cpp                                                                                     | C++                |         57 |          0 |          8 |         65 |
| d:\Users\normalpcer\Documents\sync_code\20250322\template.cpp                                                                                  | C++                |         21 |          0 |          7 |         28 |
| d:\Users\normalpcer\Documents\sync_code\3.md                                                                                                   | Markdown           |          1 |          0 |          0 |          1 |
| d:\Users\normalpcer\Documents\sync_code\3.py                                                                                                   | Python             |         42 |         11 |          2 |         55 |
| d:\Users\normalpcer\Documents\sync_code\3.ts                                                                                                   | TypeScript         |         62 |         14 |          9 |         85 |
| d:\Users\normalpcer\Documents\sync_code\4.md                                                                                                   | Markdown           |          5 |          0 |          4 |          9 |
| d:\Users\normalpcer\Documents\sync_code\4.py                                                                                                   | Python             |         13 |          2 |          1 |         16 |
| d:\Users\normalpcer\Documents\sync_code\4.ts                                                                                                   | TypeScript         |          1 |          0 |          0 |          1 |
| d:\Users\normalpcer\Documents\sync_code\5.md                                                                                                   | Markdown           |          6 |          0 |          5 |         11 |
| d:\Users\normalpcer\Documents\sync_code\5.py                                                                                                   | Python             |         24 |          0 |          8 |         32 |
| d:\Users\normalpcer\Documents\sync_code\5.ts                                                                                                   | TypeScript         |         74 |         28 |          9 |        111 |
| d:\Users\normalpcer\Documents\sync_code\6.md                                                                                                   | Markdown           |          5 |          0 |          6 |         11 |
| d:\Users\normalpcer\Documents\sync_code\6.py                                                                                                   | Python             |         11 |          2 |          1 |         14 |
| d:\Users\normalpcer\Documents\sync_code\6.ts                                                                                                   | TypeScript         |        137 |         16 |         18 |        171 |
| d:\Users\normalpcer\Documents\sync_code\7.md                                                                                                   | Markdown           |          6 |          0 |          5 |         11 |
| d:\Users\normalpcer\Documents\sync_code\7.py                                                                                                   | Python             |          1 |          0 |          1 |          2 |
| d:\Users\normalpcer\Documents\sync_code\7.ts                                                                                                   | TypeScript         |         51 |         12 |          8 |         71 |
| d:\Users\normalpcer\Documents\sync_code\8.md                                                                                                   | Markdown           |          7 |          0 |          4 |         11 |
| d:\Users\normalpcer\Documents\sync_code\9.md                                                                                                   | Markdown           |         12 |          0 |          1 |         13 |
| d:\Users\normalpcer\Documents\sync_code\ABC246G_Game_on_Tree_3.cpp                                                                             | C++                |         52 |          4 |         10 |         66 |
| d:\Users\normalpcer\Documents\sync_code\ABC246d_2_variable_Function.cpp                                                                        | C++                |         29 |          3 |          6 |         38 |
| d:\Users\normalpcer\Documents\sync_code\ABC246e_Bishop_2.cpp                                                                                   | C++                |         56 |          4 |          6 |         66 |
| d:\Users\normalpcer\Documents\sync_code\ABC246f_typewriter.cpp                                                                                 | C++                |         41 |          6 |          8 |         55 |
| d:\Users\normalpcer\Documents\sync_code\ABC249c_Just_K.cpp                                                                                     | C++                |         31 |          3 |         10 |         44 |
| d:\Users\normalpcer\Documents\sync_code\ABC249d_Index_Trio.cpp                                                                                 | C++                |        101 |          9 |         21 |        131 |
| d:\Users\normalpcer\Documents\sync_code\ABC249e_RLE.cpp                                                                                        | C++                |         62 |         21 |         10 |         93 |
| d:\Users\normalpcer\Documents\sync_code\ABC249f_Ignore_Operations.cpp                                                                          | C++                |         49 |         22 |         10 |         81 |
| d:\Users\normalpcer\Documents\sync_code\ABC253e_Distance_Sequence.cpp                                                                          | C++                |         41 |          5 |         11 |         57 |
| d:\Users\normalpcer\Documents\sync_code\ABC253f_Operations_on_a_Matrix.cpp                                                                     | C++                |         86 |          8 |         11 |        105 |
| d:\Users\normalpcer\Documents\sync_code\ABC253g_Swap_Many_Times.cpp                                                                            | C++                |         51 |          7 |         12 |         70 |
| d:\Users\normalpcer\Documents\sync_code\ABC261d_Flipping_and_Bonus.cpp                                                                         | C++                |         43 |          8 |         11 |         62 |
| d:\Users\normalpcer\Documents\sync_code\ABC261e.md                                                                                             | Markdown           |         88 |          0 |         10 |         98 |
| d:\Users\normalpcer\Documents\sync_code\ABC261e_Many_Operations.cpp                                                                            | C++                |         60 |         14 |         11 |         85 |
| d:\Users\normalpcer\Documents\sync_code\ABC261e_Many_Operations_optimize.cpp                                                                   | C++                |         39 |         13 |         10 |         62 |
| d:\Users\normalpcer\Documents\sync_code\ABC261f_Sorting_Color_Balls.cpp                                                                        | C++                |         71 |          7 |         12 |         90 |
| d:\Users\normalpcer\Documents\sync_code\ABC264E_Blackout_2.cpp                                                                                 | C++                |         66 |          7 |          7 |         80 |
| d:\Users\normalpcer\Documents\sync_code\ABC264c_Matrix_Reducing.cpp                                                                            | C++                |         87 |          6 |          6 |         99 |
| d:\Users\normalpcer\Documents\sync_code\ABC264d__redocta_.swap_i_i+1.cpp                                                                       | C++                |         29 |          4 |          6 |         39 |
| d:\Users\normalpcer\Documents\sync_code\ABC264f_Monochromatic_Path.cpp                                                                         | C++                |         89 |          6 |          9 |        104 |
| d:\Users\normalpcer\Documents\sync_code\ABC267f_Exactly_K_Steps.cpp                                                                            | C++                |        131 |         11 |         32 |        174 |
| d:\Users\normalpcer\Documents\sync_code\ABC268G_Random_Student_ID.cpp                                                                          | C++                |         64 |         17 |         11 |         92 |
| d:\Users\normalpcer\Documents\sync_code\ABC268c_Chinese_Restaurant.cpp                                                                         | C++                |         29 |         10 |          8 |         47 |
| d:\Users\normalpcer\Documents\sync_code\ABC268d_Unique_Username.cpp                                                                            | C++                |         70 |          8 |          9 |         87 |
| d:\Users\normalpcer\Documents\sync_code\ABC268e_Chinese_Restaurant_(Three_Star_Version).cpp                                                    | C++                |         53 |         25 |         13 |         91 |
| d:\Users\normalpcer\Documents\sync_code\ABC268f_Best_Concatenation.cpp                                                                         | C++                |         49 |         12 |         12 |         73 |
| d:\Users\normalpcer\Documents\sync_code\ABC269B_Rectangle_Detection.cpp                                                                        | C++                |         26 |          3 |          9 |         38 |
| d:\Users\normalpcer\Documents\sync_code\ABC269G_Reversible_Cards_2.cpp                                                                         | C++                |         67 |         12 |         11 |         90 |
| d:\Users\normalpcer\Documents\sync_code\ABC269c_Submask.cpp                                                                                    | C++                |         22 |          3 |          7 |         32 |
| d:\Users\normalpcer\Documents\sync_code\ABC269d_Do_use_hexagon_grid.cpp                                                                        | C++                |         46 |         13 |         10 |         69 |
| d:\Users\normalpcer\Documents\sync_code\ABC269e_Last_Rook.cpp                                                                                  | C++                |         31 |         18 |          9 |         58 |
| d:\Users\normalpcer\Documents\sync_code\ABC269f_Numbered_Checker.cpp                                                                           | C++                |         42 |         18 |          8 |         68 |
| d:\Users\normalpcer\Documents\sync_code\ABC270c_Simple_path.cpp                                                                                | C++                |         43 |          3 |         13 |         59 |
| d:\Users\normalpcer\Documents\sync_code\ABC270e_Apple_Baskets_on_Circle.cpp                                                                    | C++                |         61 |         10 |         11 |         82 |
| d:\Users\normalpcer\Documents\sync_code\ABC270f_Transportation.cpp                                                                             | C++                |         66 |          9 |         14 |         89 |
| d:\Users\normalpcer\Documents\sync_code\ABC270g_Sequence_in_mod_P.cpp                                                                          | C++                |         76 |         26 |         11 |        113 |
| d:\Users\normalpcer\Documents\sync_code\ABC271f_XOR_on_Grid_Path.cpp                                                                           | C++                |         70 |          3 |         13 |         86 |
| d:\Users\normalpcer\Documents\sync_code\ABC273F_Hammer_2.cpp                                                                                   | C++                |         61 |          9 |         11 |         81 |
| d:\Users\normalpcer\Documents\sync_code\ABC273F_Hammer_2_solution.md                                                                           | Markdown           |        108 |          0 |         36 |        144 |
| d:\Users\normalpcer\Documents\sync_code\ABC275c_Counting_Squares.cpp                                                                           | C++                |         50 |          4 |         11 |         65 |
| d:\Users\normalpcer\Documents\sync_code\ABC275c_Counting_Squares_(Optimize).cpp                                                                | C++                |         39 |          7 |         10 |         56 |
| d:\Users\normalpcer\Documents\sync_code\ABC275e_Sugoroku_4.cpp                                                                                 | C++                |         40 |          9 |          9 |         58 |
| d:\Users\normalpcer\Documents\sync_code\ABC275f_Erase_Subarrays.cpp                                                                            | C++                |         35 |         13 |          8 |         56 |
| d:\Users\normalpcer\Documents\sync_code\ABC276b_Adjacency_List.cpp                                                                             | C++                |         29 |          3 |          7 |         39 |
| d:\Users\normalpcer\Documents\sync_code\ABC276c_Previous_Permutation.cpp                                                                       | C++                |         21 |          3 |          8 |         32 |
| d:\Users\normalpcer\Documents\sync_code\ABC276d_Divide_by_2_or_3.cpp                                                                           | C++                |         32 |          4 |          8 |         44 |
| d:\Users\normalpcer\Documents\sync_code\ABC276e_Round_Trip.cpp                                                                                 | C++                |         71 |          3 |         14 |         88 |
| d:\Users\normalpcer\Documents\sync_code\ABC276f_Double_Chance.cpp                                                                              | C++                |         63 |         23 |         10 |         96 |
| d:\Users\normalpcer\Documents\sync_code\ABC276g_Count_Sequences.cpp                                                                            | C++                |         65 |         32 |         12 |        109 |
| d:\Users\normalpcer\Documents\sync_code\ABC282F_Union_of_Two_Sets.cpp                                                                          | C++                |         45 |          3 |         13 |         61 |
